Sample in Buffer,Sample in Window,TRIGGER,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tvalid,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tready,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tlast,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tdata[511:0],inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tvalid,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tready,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tlast,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tdata[511:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
10,10,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
11,11,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
12,12,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
13,13,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
14,14,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
15,15,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
16,16,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
17,17,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
18,18,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
19,19,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
20,20,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
21,21,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
22,22,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
23,23,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
24,24,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
25,25,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
26,26,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
27,27,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
28,28,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
